Id;Ano;Numero_Accidente;Provincia;Mes;Dia;Hora;Dia_Semana;Tipo_Dia;Vehiculos_Implicados;Carretera;Pk;Km;Hm;Sentido;Zona;Tipo_Via;Anchura_Calzada;Anchura_Carril;Marcas_Viales;Arcen;Arcen_Pavimentado;Mediana;Barrera_Seguridad;Paneles_Direccionales;Hitos_Arista;Captafaros;Interseccion_Tipo;Interseccion_Acondicionamiento;Prioridad_Regulada_por;Superficie;Luminosidad;Factores_Atmosfericos;Visibilidad_Restringida_por;Otras_Circunstancias;Senalizacion_Peligro;Aceras;Arboles;Arboles_Metros_Calzada;Visibilidad_Senalizacion_Vertical;Colision_Vehiculos_Marcha;Colision_Vehiculo_Obstaculo_1;Colision_Vehiculo_Obstaculo_2;Atropello_1;Atropello_2;Vuelco_1;Vuelco_2;Salida_Sin_Colision;Salida_Con_Colision;Lado_Salida;Otro;Circulacion;Circulacion_Medidas_Especiales;Distraccion;Inexperiencia_Conductor;Alcohol_Drogas;Cansancio_Sueno;Enfermedad;Velocidad_Inadecuada;Infraccion_Norma_Circulacion;Estado_Condicion_Via;Estado_Condicion_Senalizacion;Tramo_Obras;Mal_Estado_Vehiculo;Averia_Mecanica;Meteorologia_Adversa;Irrupcion_Animal;Circular_Sentido_Contrario;Otro_Factor;Sin_Opinion_Definida;Pendiente;Curvatura;Peralte;GPS_x;GPS_y;GPS_z;Tipo_Est;IMD;N_Muertos;N_Graves;N_Leves;N_Victimas;N_Conductores;N_Pasajeros;N_Peatones;Gravedad;Grado_Gravedad;Hora_Real;Fuera_o_Interseccion
649;1;2,01E+12;1;6;1;6;3;1;2;CV-835;1.7;1;7;0;1;5;2;2;3;3;2;1;2;1;1;1;7;7;8;1;1;1;9;14;3;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;NaN;53;50;NaN;1;4;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;693370703;4250917406;253.079;Sec;3578;0;0;1;1;2;0;0;0;3;20;1
651;1;2,01E+12;1;6;5;6;7;3;2;CV-840;1.2;1;2;1;1;5;2;3;3;3;2;1;2;2;2;2;7;7;5;1;1;1;2;14;1;1;1;NaN;2;1;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;671661718;4248057008;516.654;Cob;4432;0;0;4;4;2;2;0;0;3;18;5
660;1;2,01E+12;1;6;1;6;3;1;2;CV-736;2.3;2;3;0;1;5;3;2;3;2;2;1;1;1;1;1;1;1;8;1;1;1;9;14;3;1;1;NaN;2;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;772519328;4302116836;42.918;Cob;5337;0;0;7;7;2;6;0;0;3;19;7
663;1;2,01E+12;1;6;3;5;5;1;2;CV-70;46.2;46;2;0;1;5;2;2;3;3;2;2;1;2;1;1;5;1;4;1;1;1;9;14;3;2;1;NaN;1;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;750351933;4274853838;166.189;Per;27898;0;0;1;1;2;1;0;0;3;15;6
664;1;2,01E+12;1;6;5;1;7;3;1;CV-820;5.5;5;5;1;1;5;3;2;3;3;2;1;1;2;1;1;7;7;8;1;4;1;9;14;1;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;NaN;52;50;NaN;1;4;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;700418875;4254319253;275.702;Cob;6864;0;0;1;1;1;1;0;0;3;1;5
666;1;2,01E+12;1;6;12;4;7;3;1;CV-820;2.6;2;6;0;1;5;3;2;3;4;2;1;1;2;2;2;7;7;8;1;1;1;9;14;1;1;1;NaN;2;NaN;NaN;;NaN;;NaN;;NaN;63;60;NaN;1;4;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;711604754;4254849478;148.993;Cob;6864;0;0;1;1;1;0;0;0;3;14;1
668;1;2,01E+12;1;6;11;5;6;2;2;CV-820;6.7;6;7;0;1;5;3;2;3;3;2;1;1;1;1;1;7;7;8;1;1;1;9;14;3;1;1;NaN;1;NaN;30;32;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;707744485;4255861878;230.122;Cob;6864;0;2;0;2;2;0;0;1;2;15;1
670;1;2,01E+12;1;6;14;3;2;1;2;CV-840;4.7;4;7;1;1;5;2;2;3;3;2;1;2;2;1;2;7;7;8;1;1;1;2;14;1;1;1;NaN;2;4;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;3;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;673717.22;4245801885;497.563;Cob;4432;0;0;2;2;2;1;0;0;3;7;5
672;1;2,01E+12;1;6;16;6;4;1;2;CV-865;10.8;10;8;0;1;5;3;2;3;4;2;1;1;1;1;2;2;6;3;1;1;1;9;14;1;1;1;NaN;2;2;NaN;;NaN;;NaN;;NaN;NaN;NaN;NaN;1;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;711856563;4231670231;-13.426;Sec;9468;1;0;0;1;2;0;0;1;1;19;6
673;1;2,01E+12;1;6;16;2;4;1;1;CV-81;24;24;0;1;1;5;3;2;3;3;2;1;2;1;1;1;7;7;8;1;2;1;9;14;3;1;2;1;1;NaN;NaN;;NaN;;NaN;;NaN;61;60;NaN;1;4;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;692300.65;4284668268;545.044;Cob;5457;0;1;0;1;1;0;0;1;2;6;1
